"職缺內容","公司名稱","產業別","工作內容","地區","薪資","網址"
"【TENG2001】Senior Back-End Engineer (Up to Leader)","SHOPLINE Technology Corp., Ltd._商線科技股份有限公司","網際網路相關業","SHOPLINE 全球智慧開店平台，是提供品牌一舉創建、管理線上與線下商店的一站式智慧開店服務。

以品牌電商架站平台為核心，整合網站設計、商品管理、金物流服務以及行銷導流工具，為賣家提供簡單、好上手的架站服務，是亞洲最大的網路開店平台，此外，SHOPLINE 也提供跨境、O2O 虛實整合、POS 系統等全通路解決方案。自 2013 年創辦以來，全球已經有超過 500,000 個品牌使用 SHOPLINE 的服務成功開店，讓 SHOPLINE 成為在亞洲市場的行業領軍者。

我們保有外商的制度福利與新創公司的彈性，你還等什麼！
歡迎對 startup 有熱誠的人才加入我們的頂尖團隊！


【What you'll be doing】
- 負責電商平台程式開發及維護
- 撰寫高品質的軟體程式
- 新技術學習及導入
- 使用技術與工具：Node.js, Golang, Ruby on Rails, Redis, MongoDB, AWS, Elastic Search

【Who we are looking for】
- 精通以及具備一種以上的語言技能，如：Ruby、Go、Python、Java、Node.js 和學習其他語言的能力
- 擅長 Redis, MongoDB, AWS.
- 有物件導向程式設計 (object-oriented programming) 經驗
- 有 Functional programing 開發經驗
- 有資料庫 (database) 相關經驗
- 細心且具備良好溝通能力，並且樂於團隊合作以及幫助團隊解決問題
- 對軟體開發及網路科技發展有興趣
- 具有電子商務程式開發經驗者優先
- 需基本中英文讀寫能力

【It'd be a plus if you have】
- 有管理團隊的經驗
- 精通 Ruby on Rails (優先) 或是 Golang
- 熟悉或對敏捷式開發 (Agile development) 有興趣
","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7kkv4?jobsource=hotjob_chr"")"
"【數位驅動】中台發展ETL Data工程師 / ETL Data Engineer_I00011673","國泰世華商業銀行股份有限公司","銀行業","作進行數位、數據、核心轉置及Open API等專案之ETL Data及批次作業相關工作，內容包含以下項目：

1.服務資料下檔之ETL批次流程開發
2.資料產製及清除作業運營優化
3.批次作業的研發，如運用容器、開源項目優化等
4.持續研究資料處理","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87ctk?jobsource=n_my104_search"")"
"DBA資料庫與數據工程師","晉瑜企業股份有限公司","水泥及水泥製品製造業","【工作內容/角色】

在邁向工業物聯網平台整合與智慧製造解決方案的路上，在團隊中扮演重要的角色。您會與一支實力堅強的團隊協同作業，一同參與討論技術規格。在成員互相討論激發中，共同提升技術。作為Database Administrator，除了資料","台北市大安區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8d8qi?jobsource=n_my104_search"")"
"LO【數據工程師】","零壹科技股份有限公司_Zero One Tech","電腦系統整合服務業","1. 數據湖、數據中台、資料庫及資料倉儲系統規劃、設計與監控管理
2. 數據來源收集、整理、儲存、分析等數據工作流（Data Ppipeline／ETL）之建置與開發
3. 數據視覺化呈現工具、預測模型、人工智慧（AI）的應用開發
4. 持續學習","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8ddnm?jobsource=n_my104_search"")"
"數據工程師 (IDS-資料庫技能與維護)","宏燁資訊股份有限公司","電腦系統整合服務業","因剖析、多面向資料源數據報表假設證明。
4. ETL工具使用。
5. 非結構化資料使用(mongoDB)。 
6. 資料庫集成管理軟體學習(NDB)。
7. 有金融相關經驗佳。
8. 正職職位，必要時需於客戶端駐點。","台北市中正區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/86qk3?jobsource=n_my104_search"")"
"【台北事業處】AI研發工程師","千享國際企業股份有限公司","電腦系統整合服務業","等進行開發和優化，並執行資料清洗、特徵工程等資料預處理工作。
4、程式語言應用： 使用Python進行物件導向程式設計，開發高效能的AI應用。
5、團隊合作與溝通： 具備良好的團隊協作能力，能主動積極解決問題，與其他部門合作完成專案目標。

技能需","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8hxmj?jobsource=n_my104_search"")"
"Data Scientist 數據科學家","美庫爾數據商務顧問股份有限公司","工商顧問服務業"," Redshift、GCP Vertex AI、BigQuery，進行資料處理、模型訓練和優化。
● 跨功能團隊合作 Collaborator: 與數據工程師、分析師和 CRM 專家等跨職能團隊密切合作，從商業需求出發，設計並實施實際可行的技術解決方案。","台北市信義區","年薪700,000~1,000,000元","=HYPERLINK(""http:////www.104.com.tw/job/8bzdr?jobsource=n_my104_search"")"
"Data Engineering Team Lead","街口電子支付股份有限公司","網際網路相關業"," INTERESTED】
-Lead and mentor a team of data engineers in building and maintaining scalable ETL pipelines, ensuring data","台北市松山區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/8hwoa?jobsource=n_my104_search"")"
"資料庫系統工程師","區塊科技股份有限公司","其它軟體及網路相關業","1. 區塊鏈系統資料庫優化
2.區塊鏈節點資料整合至資料庫
3.NonSQL及 SQL 資料庫並用開發
熟Linux 或 具資料庫相關證照經驗者為佳 ","台北市中山區","月薪66,000~75,000元","=HYPERLINK(""http:////www.104.com.tw/job/89dik?jobsource=n_my104_search"")"
"60146S0_商業智慧系統及數據工程師","神通資訊科技股份有限公司","電腦系統整合服務業","具強烈企圖心和創意，有開放學習的態度與團隊合作的精神，積極主動、學習力強、有熱誠、執行力強、有獨立思考能力。本職務須可自我管理，並對工作有高度責任感。對相關商業智慧、數據工程有興趣者，工作內容:
1.	熟悉資料庫概念，進行資料整備、Data","台北市內湖區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/85nbl?jobsource=n_my104_search"")"
"科技金融_程式設計師(ETL)","中國信託商業銀行股份有限公司","銀行業","1.ODS、BO系統開發、管理與維運
2.法金風險資訊平台系統維護與ETL維運程式開發

※請至中信官方招募網站投遞履歷：
https://ctbcholding.wd3.myworkdayjobs.com/External/job/--ETL-","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/5qbjd?jobsource=n_my104_search"")"
"P7-Python資料工程師","意藍資訊股份有限公司","網際網路相關業","本公司是國內搜尋及語意分析市占率最高的廠商，專注研發非結構資料之數據處理，尋找熟悉Python及物件導向設計的人才加入。工作主要為開發與維運資料產線，搜集語料、資料儲存處理，並提供API服務供下游服務使用。

工作內容如下：
- 資料搜集程式開發","台北市大安區","月薪35,000~45,000元","=HYPERLINK(""http:////www.104.com.tw/job/7csnw?jobsource=n_my104_search"")"
"RD20100 Data Engineer 數據工程師","華碩電腦股份有限公司","電腦及其週邊設備製造業","1. 負責數據建模,資料倉儲,BI系統開發維運發                            
2. 設計與開發ETL程式                            
3. 負責Big Data分析處理","台北市北投區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/7ba34?jobsource=n_my104_search"")"
"數據工程師 Data Engineer -集團徵才-數據科技(數數發中心, DDT)_I00014628","國泰金控_國泰金融控股股份有限公司","金融控股業","[主要任務]
1. 各項數據資料盤點與蒐集，並進行資料模型設計與管理
2. 因應業務需求支援各類型來源資料串接、資料處理，完善資料倉儲
3. 資料 ETL 流程自動化規劃、設計、開發與監控維護
4. 資料品質之監控與管理，及對應機制的建立
5.","台北市信義區","無薪資資訊","=HYPERLINK(""http:////www.104.com.tw/job/87w7s?jobsource=n_my104_search"")"
